"아굴절, 亞掘折, sub-refraction",,굴절 기울기가 표준 굴절 기울기보다 큰 굴절. 부분 굴절이라고도 한다. 이로 인해 전파 통로의 곡률 반지름은 표준 굴절의 경우보다 커지게 된다. →굴절률.
"윈집, WinZip",,"인터넷(http://www. winzip.com/)이나 구미 등 선진국의 개인용 컴퓨터(PC) 통신망에서 유통되는 압축 파일의 표준 아카이브. 미국 니코마크 컴퓨팅 회사가 개발한 셰어웨어로서 파일을 압축하거나 복수 파일을 1개로 하는 기능을 가지고 있다. 즉 압축 해제 처리 속도가 대단히 빠르기 때문에 인터넷 시대에 적합한 표준 소프트웨어로 자리매김하고 있으며, 윈집으로 압축한 형식 이외의 아카이브 형식에도 대응하고 있다. 버전 6.2 이후부터 파일의 패스워드 보호, 유유엔코드(UUENCODE) 및 MIME 등 다른 형식의 파일 전개 기능을 가지고 있다."
"윈코드, Wincode",,"2진 파일을 7비트 아스키로 변환하기 위해 유유코딩 및 다목적 인터넷 전자 우편(MIME) 형식을 지원하는 윈도즈 유틸리티. 인터넷상에서 이메일을 통한 2진 파일이나 아스키 기반의 통신을 하기 위해 2진 파일과 아스키의 변환이 필요하나 메일 프로그램이 모든 2진 파일의 인코딩과 디코딩을 지원하지는 않는다. 인코딩과 디코딩만을 지원하는 윈코드는 베이스 64와 유유코드, 빈헥스, BTOA, USR, XXencode 등 거의 모든 인코딩과 디코딩을 지원한다."
"윈텔, Wintel",,"마이크로소프트(MS)사 윈도(Windows) 윈(Win)과 인텔(Intel) 텔(tel)의 합성어. 운영 체제(OS, operating system)를 제공하는 마이크로소프트와 PC 핵심인 중앙 처리 장치(CPU, central processing unit) 제조사인 인텔이 제휴해 시장을 독점해 오고 있다. 실제로 인텔은 32비트 칩에서도 윈도 운영 체제 한 가지만 쓰는 전략으로 동맹 관계를 유지하기도 했다. 하지만 최근 모바일 기기에 따른 여러 가지 운영 체제와 칩이 나오면서 윈텔 동맹이 흔들리는 모습을 보이고 있다."
"유극 계전기, 有極繼電器, polarized relay",,"영구 자석에 의한 자속(磁束)과 코일에 의한 자속의 상호 작용을 이용하여 코일에 흐르는 전류의 극성에 따라 동작을 제어하는 직류 계전기. 구동 전류의 극성을 식별할 수 있으며, 작동 시간이 빠르고 작동 전류가 적으며 수명이 긴 특징이 있다. 충격파의 발생, 중계, 수신, 극성 판별, 시한 회로, 스위칭 회로 등의 용도에 적합하다. 제어 입력 전류의 극성에 좌우되지 않는 것을 무극 계전기라 부른다."
"유기 금속 화학 증착법, 有機金屬化學蒸着法, Metal Organic Chemical Vapor Deposition, MOCVD",,화학 반응을 이용하여 기판상에 금속 산화막을 형성하는 박막 형성법. 진공으로 된 통 안에서 가열된 기판에 증기압이 높은 금속의 유기 화합물 증기를 보내어 그 금속의 막을 기판에 성장시킨다. 어떤 조건에서는 화합물 반도체의 결정을 에피택셜 성장(epitaxial growth)시킬 수도 있다.
"유기 메모리 소자, 有機-素子, Organic Memory Element",,"두 개의 전극 사이에 유기물을 박막 형태로 넣은 메모리 소자. 만드는 값이 싸고, 만드는 기술은 간단하며, 저온 공정과 구부러지는 플라스틱 제품에 적용할 수 있는 장점이 있다. 메모리 셀 사이의 간섭 현상을 제어하기 어려워 실용화가 지연되었으나 메모리 셀 사이에 트랜지스터를 연결하는 방식이 개발되면서 이를 극복하였다."
"유기 박막 트랜지스터, 有機薄膜-, Organic thin-film transistor, OTFT",,"채널 층으로서 무기질(실리콘)층 대신 유기 반도체층을 사용한 박막 트랜지스터. 전체 구조는 실리콘을 기반으로 한 트랜지스터와 큰 차이가 없다. 게이트에 전압을 가하게 되면 절연막 때문에 전류가 흐르지 않고, 반도체에 전기장(전계)이 걸리므로 전계 효과 트랜지스터 역할을 하게 된다. 소자의 동작원리는 게이트에 가해진 전압에 따라 절연체 부분이 전하가 없는 층(depletion layer), 또는 전하가 모인 층(accumulation layer)이 되어 소스와 드레인 사이에 흐르는 전류의 양이 제어된다. 이 전류량의 비를 점멸비라 하며, 컴퓨터 모니터와 같은 디스플레이 용도에서 중요한 역할을 한다. OTFT 모니터는 밝고 컬러가 선명하며, 감응 속도가 빠르다. 또한 화면기판으로 플라스틱을 사용할 수가 있어 구부릴 수 있는 화면도 가능하다."
"유기 반도체, 有機半導體, organic semiconductor",,"탄소 물질로 만들어진 반도체. 유기 화합물은 대부분 절연체이나, 일반적으로 유기 반도체는 전리하여 전자를 내기 쉬운 물질과 전자를 받아들이기 쉬운 물질을 화합하여 분자 화합물을 만들 때 얻어지는 유기 물질 결정 구조인 외인성 반도체이다. 원소 반도체인 Ge이나 Si를 화학적ㆍ물리적으로 정제하고, 적합한 방법에 따라 단결정을 성장시켜 필요에 따라 불순물을 첨가하여 N형 또는 P형으로 만든다."
"유기 발광 다이오드 TV, 有機發光-, Organic Light-Emitting Diode Television, OLED TV",,"액정 표시 장치(LCD)의 백 라이트 유닛(BLU)으로 유기 발광 다이오드(OLED)를 사용하는 텔레비전. LCD TV는 3원색인 RGB 필터의 열림 각도를 제어해 관원 조명의 투과량으로 컬러를 표현하는 방식인 반면, 유기 발광 다이오드 TV(OLED TV)는 RGB 3색 픽셀이 자체 발광으로 색을 표현한다. LCD TV에 비해 속도가 빠르고 잔상 현상이 없으며, 광원이 불필요하여 소비 전력과 발열이 거의 없고, 색 표현력과 시야각이 우수하다. 능동형(AM)과 수동형(PM)이 있다."
"유기 전계 발광 패널, 有機電界發光-, organic electroluminescence panel",,"유기 EL 소자를 사용한 표시 장치. 전계에 의한 발광 현상을 이용한 것으로서, 발광 재료로 아연이나 유황 등으로 구성된 무기 화합물을 사용한 것을 ‘무기 EL 소자’라 하고 탄소나 수소 등으로 구성된 유기 화합물을 사용한 것을 ‘유기 EL 소자’라 한다. 전자빔이 형광막과 충돌로 발광되는 브라운관(CRT)과 동일한 동작이 유리 기판 위에 형성된 박막에서 행해지며, 액정 표시 장치와 달리 CRT처럼 자체가 발광하는 자발광(自發光)형의 표시 장치로서 높은 명암도, 넓은 시야각, 고속 응답 등의 특성이 있다."
"유기 전기 발광 다이오드, 有機電氣發光-, Organic Light Emitting Diode, OLED",,"유기물질에 전류를 흘려주면 전기 에너지가 빛 에너지로 전환되는 현상을 이용한 발광 다이오드. 유기 EL(organic electroluminescence)이라고도 한다. 1963년 포프 등이 안트라센(anthracene)이라는 유기물 단결정에서 이 현상을 처음 발견하였다. 유기 EL은 전력 소모가 적고, 자체 발광으로 시야각이 넓으며 응답 속도가 빠른 장점이 있는 반면에 발광체의 수명이 짧고, 밝은 빛 아래에서는 볼 수가 없으며, 대형 화면을 만들기가 어려운 단점도 있다. MP3나 휴대 전화, 카메라, 그리고 PMP 같은 휴대용 영상 기기에서 액정 표시 장치(LCD)를 빠르게 대체해 가고 있다. 기존의 수동형(PM) OLED에서 한 단계 업그레이드된 능동형(AM) OLED가 개발되었으며, 화소 응답 속도가 빨라 텔레비전용 디스플레이로 개발되고 있다."
"유기 태양 전지, 有機太陽電池, Organic PhotoVoltaics, OPV",,광전 변환 물질을 나노 입자로 만들어 플라스틱이나 금속 기판 따위에 프린팅 방식으로 만드는 태양 전지. 결정형 태양 전지에 견주어 생산 단가를 낮출 수 있어 앞날 태양광 발전 분야에서도 성장 가능성이 높다.
"유니박-1, Universal Automatic Computer, UNIVAC-1",,"세계 최초의 상업용 컴퓨터. 1951년 J. 모클리와 J.P. 에커트가 제작하였다. 이전의 컴퓨터가 주로 과학 및 공학, 군사 분야에 응용된 데 비해, 유니박은 숫자 데이터와 문자 데이터를 모두 처리하는 기능을 지녔다. 미국 국세 조사에 응용되어 그 가치를 높게 평가받았다."
"유니버설 3D, Universal 3D, U3D",,"3차원 컴퓨터 지원 설계 프로그램으로 웹 브라우저와 같은 각각의 응용 프로그램에 데이터 상호 교환 포맷을 모두 지원하는 그래픽 포맷. 3D 산업 포럼(3DIF: 3D Industry Forum)에서 개발한 표준으로, 컴퓨터 지원 설계(CAD)와 3DMax, 그리고 기타 3D 소프트웨어 개발자들이 제안한 각각 고유의 3D 포맷의 난립을 막고 하나의 단일 포맷으로 기존 포맷들을 대체하기 위한 것이다."
"유니버설 디자인, Universal Design",,"성별과 연령, 국적, 문화적 배경, 교육 수준, 장애의 유무에 상관없이 누구나 쉽게 쓸 수 있는 제품과 사용 환경을 만들기 위한 디자인. 평생 디자인이라고도 한다. 주택이나 공공 시설물에 주로 적용되어 왔던 유니버설 디자인이 정보 기술(IT)의 발달에 따라 웹 사이트를 비롯해 소프트웨어나 디지털 텔레비전, 휴대 전화 등 다양한 디지털 제품과 서비스로 확대되고 있다."
"유니버설 메모리, Universal Memory",,"D램의 저비용, S램의 빠른 속도, 비휘발성 플래시메모리 등의 장점을 갖는 통합형 기억 소자. 사용하는 부품이 줄기 때문에 IT기기의 제조 원가와 소모 전력을 낮추고 데이터 처리 속도를 높일 수 있다. 데이터를 저장하면서도 동시에 이를 처리할 수 있어 뇌신경을 구성하는 뉴런과 가장 흡사한 전자소자로 뇌신경을 재현하는 것이 가능하여 스스로 학습하는 인공지능 부문 적용이 연구되고 있다."
"유니샛, UNISAT",,"영국의 방송 위성 제작과 운용을 하는 회사. 유니샛에 의한 방송 위성은 17/12GHz, 채널은 텔레비전 2채널, 설계 수명은 7년이다."
"유니캐스트, unicast",,"메시지의 수신 주소를 1개만 지정하는 1:1 통신 형태. 반면, 네트워크 내의 모든 주소에 동일 메시지를 보내는 것을 ""브로드캐스트"", 지정한 복수의 수신 주소에 동일 메세지를 보내는 것을 ""멀티캐스트""라 한다. IP 주소의 클래스 A, 클래스 B 및 클래스 C는 유니캐스트 주소이다.→IP 주소, 멀티캐스트"
"유니코드, Unicode",,"전 세계의 모든 문자에 고유 숫자를 부여하여 만든 문자 체계. 유니코드는 ISO/IEC 10646에서 정의된 범용 문자 집합(UCS)과 동일한 것이며, 유니코드 협회(Unicode Consortium)에서 제정∙관리된다. 유니코드에는 8 비트, 16 비트 및 32 비트 부호 체계가 지원되며, 기본으로 16비트가 사용된다."
"유니코드 변환 형식, -變換形式, Unicode Transformation Format, UTF","동의어 : UCS(Universal Coded Character Set) Transformation format, 유니코드 인코딩","유니코드 문자를 기존 문자 체계와의 상호 호환을 위해 가변 길이의 바이트열 값으로 인코딩하는 방식. 유니코드(Unicode)는 전 세계의 거의 모든 문자에 고유 숫자를 부여한 문자 집합으로, 1993년 국제 표준(ISO/IEC 10646)으로 제정되었다. 유니코드는 기본적으로 2 바이트로 한 문자를 표현하여, 기존 7 비트 또는 8 비트로 한 문자를 표현하는 아스키(ASCII) 문자 기반 시스템과 호환을 위해 UTF를 사용한다. UTF 인코딩 방식으로 UTF-8, UTF-16 및 UTF-32 등이 있다. UTF 뒤의 숫자는 한 문자를 인코딩하는 길이로, UTF-8은 유니코드 문자를 8비트(1바이트) 값으로 인코딩함을 의미한다. 대표적인 UTF 인코딩 방식은 다음과 같다.  ▷ UTF-8: 모든 유니코드 문자(코드포인트)를 1 ~ 4 바이트의 8 비트 단위로 인코딩한다. 유니코드 문자 모두를 인코딩하며 가장 많이 사용되는 방식이다. 표준 영어 및 기호는 1 바이트(7비트 ASCII와 동일), 추가 라틴 및 중동 문자는 2 바이트, 한글을 포함한 아시아 문자는 3 바이트, 그리고 추가 문자는 4 바이트를 사용하여 표현한다. 웹에서 많이 사용되며, W3C는 XML 및 HTML의 기본 인코딩으로 UTF-8을 권장한다.  ▷ UTF-16: 2 바이트(16 비트) 단위로 1~ 2개를 사용하여 유니코드의 유효한 모든 문자를 인코딩할 수 있다. 기본 다국어 평면(BMP: Basic Multilingual Plane)에 속하는 문자들은 그대로 16 비트 값으로 인코딩하고, 추가 문자는 32 비트(16비트 2개) 값으로 인코딩한다. 자바(Java) 프로그래밍에서 기본으로 사용된다.  ▷ UTF-32: 유니코드 문자를 모두 4 바이트(32 비트) 고정 길이로 인코딩한다. 유니코드의 모든 문자에 해당하는 UTF-32 값이 색인화되어 있어, 인코딩 변환 처리가 따로 필요 없다. 그러나 모든 문자가 4 바이트를 차지하는 메모리상의 비효율로 다른 UTF-8과 UTF-16에 비해 많이 사용되지 않는다. 예를 들어, 알파벳 대문자 ‘A’의 유니코드 값(코드포인트※)은 'U+0041'로, UTF-8로 변환하면 0x41(이진수 01000001), UTF-16으로 변환하면 0x0041, UTF-32로 변환하면 0x00000041(십진수 65)이다. 한글 ‘가’의 유니코드 값은 ‘U+AC00'이다. 이를 UTF-8로 변환하면, 0xEA 0xB0 0x80(이진수 11101010:10110000:10000000), UTF-16으로 변환하면 0xAC00, UTF-32로 변환하면 0x0000AC00(십진수 44,032)이다.   ※ 유니코드에서 각 문자에 부여하는 고유 숫자 값(예: U+0041)을 코드 포인트(code point)라 한다."
"유니포럼, UniForum",,"①미국을 중심으로 1980년에 발족한 세계 최대의 유닉스(UNIX) 사용자 단체. ②①의 단체가 1년에 한 번 개최하는 대회. 유닉스 관련 하드웨어 및 소프트웨어의 전시, 연구회, 개별 지도, 분과 회의 등이 유니포럼의 일환으로 열린다."
"유니폴라 바이폴라, unipolar bipolar",동의어 : 단극성 양극성,"펄스의 유무 또는 극성으로 그 내용을 표현하는 디지털 신호의 구성 방식. 펄스의 유(마크)를 전압 ＋V[V], 펄스의 무(스페이스)를 전압 0[V]에 대응시키면, 마크 ＋V[V]의 전압치가 되는 펄스 구성을 유니폴라(unipolar, 단극성) 신호라고 하며, 마크를 전압 ＋V[V]와 -V[V] 스페이스를 전압 0[V]에 대응시켜 마크가 생길 때마다 전압 ＋V, -V를 교대로 변환하는 펄스 구성을 바이폴라(bipolar, 양극성) 신호라고 한다. RZ(return to zero) 구성에서 유니폴라 신호를 그림 1에, 바이폴라 신호를 그림 2에 나타냈다. "
"유니폴 안테나, unipole antenna",,"UHF(극초단파) 텔레비전 방송이나 FM 방송용 4분의 1파장의 도선을 금속판에 수직으로 세워 기저에서 급전하는 안테나. 반파장 다이폴 안테나의 반에 해당하는 것으로, 지향성은 다이폴 안테나와 같이 입력 임피던스가 약 반으로 된다."
"유닉스, UNIX",,미국 벨(Bell) 연구소가 프로그래밍 연구와 개발을 촉진시킬 환경 조성을 목적으로 개발한 다수 사용자를 위한 운영 체계. 유닉스(UNIX)는 벨 연구소가 GE사와 함께 MULTICS 운영 체계를 개발하기 위한 MIT 프로젝트인 MAC에 참가하였던 K. 톰슨에 의해 DEE사의 PDP-7 컴퓨터를 위해 어셈블리 언어로 작성되었다가 1972년에 D. 리치에 의해 고급 언어인 C 언어로 다시 작성되었다. 현재 개인용 컴퓨터(PC)나 소형 컴퓨터 기종의 대부분이 유닉스를 사용하며 강력한 명령어와 장치는 독립적인 파일 체제를 갖추고 있다.
"유닉스 간 통신 프로그램, -間通信-, UNIX-to-UNIX copy program, UNIX system-to-UNIX system copy program, UUCP",,"유닉스(UNIX)계 시스템 간 통신 기능의 총칭. 이 통신 기능에는 유닉스계 시스템 간의 파일 전송 기능, 단말 장치 접속 기능, 다른 유닉스계 시스템의 명령 실행 기능이 있다."
"유닉스 시스템, UNIX system",,"미국 벨(Bell) 연구소에서 만든 소형 컴퓨터용 운영 체계. 단순하면서도 강력한 명령을 가지고 있고, 그에 구애받지 않는 파일 시스템을 보유함으로써 프로그램의 개발을 편리하게 도와줄 수 있도록 설계된 운영 체계 겸 소프트웨어 시스템이다. 구체적으로는 운영 체계를 간단히 만들어 최소의 기능만을 제공함으로써 실제의 복잡한 문제들을 사용자 프로그램이 스스로 해결하도록 하고, 규모가 큰 프로젝트라도 새로운 프로그램을 개발하지 않고 기존의 작은 프로그램을 조합하여 해결할 수 있으며, 매우 다양한 기능들을 처리하기 위해 다음과 같은 보편성이 있다. ㉠파일, 기기, 프로세스 간의 메시지 완충 장치의 입력에 똑같은 시스템 호출이 사용되고, ㉡파일 목록, 기기들에 대해 같은 명명, 가명, 접근 보호 방식을 적용하며, ㉢소프트웨어 끼어들기와 프로세서의 트랩에 똑같은 처리 방식이 사용된다."
"유닉스 시스템 V, UNIX System V",,"AT&amp;T사가 1983년에 발매하여 본격적으로 이용자 지원을 개시한 상업용 유닉스 시스템. 기존의 유닉스는 벨(Bell) 연구소가 제공하는 연구 개발판이었지만 1983년부터는 AT&amp;T사의 유닉스 지원 그룹이 개발을 담당하게 되었으며, 이것이 유닉스 시스템 V 제1판(UNIX System V Release 1:SVR 1)이다. 그 후 SVR 2, SVR 3, SVR 4 등으로 개량되었으며, 라이선스는 AT&amp;T사에서 독립한 유닉스 시스템 래버러터리즈(USL)가 갖고 있다."
"유닉스 시스템 V 개량판 4, -改良版四, Unix System V Release 4, SVR 4",,"미국 AT&amp;T사가 1989년 11월에 발표한 유닉스 시스템 V의 개량판. 캘리포니아 대학교 버클리 분교(UCB)에서 개발한 4.3 BSD, 선 마이크로시스템즈사의 Sun OS, 마이크로소프트사와 SCO(Santa Cruz Operation)사가 공동 개발한 NENIX 등을 통합한 형으로 제품화한 것이다. 가상 파일 시스템, 망 파일 시스템(NFS), 원격 파일 공유 시스템(RFS), X 윈도 시스템의 기능 등이 포함되었다."
"유닉스 시스템 V 개량판 4.2, UNIX System V release 4.2, UNIX SVR 4.2",,"유닉스(UNIX)의 System V Release 4.1ES를 기초로 하여 PC(메모리 4MB, 디스크 60MB)에도 탑재할 수 있게 기본 기능이 분리될 수 있는 UNIX 운영 체계. Destiny라는 코드명으로 유닉스 시스템 래버러티즈(USL)가 개발하여 1992년에 발표하였으며, 설치는 그래픽 화면을 보면서 할 수 있게 되었다. 도스 및 윈도의 모방(emulation)을 지원하는 기능도 있다."
"유닉스웨어, UnixWare",,"386/486 인텔 플랫폼을 위한 유닉스 서버 운영 체제(OS). 미국 UnXis사(현 Xinuos)가 배포하며, 유닉스 SVR4.2 코드를 기반으로 네트웨어 인터페이스 등이 추가되어 있다."
"유닉스 인터내셔널, Unix International, UI",,"오픈 소프트웨어 재단(OSF)에 대항하여 1989년 1월 AT&amp;T, 선 마이크로시스템즈(Sun Microsystems) 등이 설립한 유닉스 시스템 V 개량판 4(SVR 4)의 보급과 표준화를 위한 업계 단체. 제조업체나 사용자의 뜻을 반영하여 유닉스 인터내셔널(UI)에서 정리한 SVR 4의 확장 기능은 유닉스 시스템 래버러터리즈(Unix System Laboratories)에 의해 구현되었다. 1993년 오픈 소프트웨어 재단(OSF)과 유닉스 인터내셔널(UI)는 공통 개방형 소프트웨어 환경(COSE)를 설립하였다."
"유도, 誘導, induction",,전력선과 통신 회선 사이의 정전 용량에 의한 정전 유도 또는 전력선이 일으키는 자속(磁束)에 의한 전자 유도에 의해 발생하는 현상. 이로 인해 통신 선로 부근에 전력선이나 전철이 있으면 통신 회선에 잡음이 발생하거나 교환기가 오동작하는 일이 있다.
"유도 기전력, 誘導起電力, Induced Electro-motive Force",,전자기 유도에 따라 생기는 기전력. 폐회로 가까이에서 자석을 움직이거나 전류가 흐르는 다른 회로를 이용해 자기장을 변화시키면 폐회로에 전류가 통하게 되는데 이때 전류를 생성하는 힘을 뜻한다. 유도 기전력은 발전기가 역학적 에너지를 전기 에너지로 바꾸는 원리가 되며 자기장 변화만으로 전력을 전달하는 비접촉식 송전기로 쓰기도 한다. 발전기나 변압기에서 발생하거나 안테나에 도달하는 전자기파 때문에 생기는 기전력도 있다.
"유도라, Eudora",,"퀄컬사가 개발한 윈속(WinSock)을 지원하는 윈도용 메일 클라이언트 프로그램. MIME 형식을 지원하므로 텍스트 이외에 그림, 오디오 등과 같은 멀티미디어 정보들을 전자 우편을 통해 전달할 수 있고, 다양한 편지함 기능을 제공해 전자 우편을 쉽게 관리할 수 있다."
"유도 루프, 誘導-, Inductive loop",,"전자기 에너지가 대전 되어 있는 케이블 루프로 유도 자장을 생성하는 것. 고속도로, 자동차전용도로, 간선도로, 우회도로 등등의 도로에 매설되어 설치되는 일반적인 루프 검지기로서, 검지기가 설치된 특정 지점을 통과한 자동차들의 교통류를 모니터링 한다. 검지기를 통하여 수집된 자동차들의 교통류 정보 데이터는 감응식 신호제어를 위하여 제공된다."
"유도 방출, 誘導放出, stimulated emission",,"자연 방출로 생긴 광자가 결정 속을 진행하는 동안에 어떤 것은 격자 결함 또는 자유 전자에 의해 산란하여 진행 방향이 바뀌거나 흡수되어 에너지를 상실하지만, 어떤 것은 자연 방출에 이르지 못하고 높은 에너지 레벨에 머물러 있다가 진동수, 위상이 광자가 갖는 그것과 일치하는 몇 개의 전자를 재결합으로 유도하여 동일 파장의 간섭성 광을 새로이 방출하는데, 이때 새로운 광자를 방출하는 것."
"유도 분배 장치, 誘導分配裝置, induction type distributor",,"피뢰기 장치 또는 시험 장치에 장착하여, 유도 전자계를 받아 해당 가입자에게 착신호 통화를 송출하는 장치. 가입자 케이블 장애, 통화 정지 등의 경우에 사용된다."
"유도성 리액턴스, 誘導性-, inductive reactance",,임피던스를 복소수 Z＝R＋jX의 형식으로 표시할 때의 X. R는 저항이다. 또 Z＝R-jX의 형식이면 X는 용량성 리액턴스이다.
"유도식 무선 통신 설비, 誘導式無線通信設備, inductive radio communication equipment",,"통신선이나 철도 레일 등을 도체로 이용, 이곳에 송수신 안테나를 전자 유도적으로 결합해서 행하는 무선 통신 설비. 소전력으로 원거리 통신을 할 수 있고, 공간에 발사되는 전자파의 양이 적으므로 다른 통신에 혼신을 야기시키는 일이 적다는 장점이 있다. 탄광 등의 갱내 통신, 고속도로 터널 내 통신, 지하철 객차와 차량 통제소 간의 통신에 이용된다."
"유도 위험 전압, 誘導危險電壓, induction dangerous voltage",,"통신 선로에 발생하는 유도 전압으로서 인체에 위험을 주는 전압. 송전선, 교류 전철의 지락(地絡) 사고에 의한 이상 시 발생하는 유도 위험 전압과 송배 전선, 교류 전철의 정상 운행 시 발생하는 상시 유도 위험 전압이 있다."
"유도 자계, 誘導磁界, induction field",,"안테나 전류에 의해서 생긴 전자계 중 안테나에서 떨어진 거리의 제곱에 비례해서 감소하는 것. 안테나로부터 방사된 자계는 다음 식으로 표시된다.H:자계의 세기(A/m)l:안테나의 길이(m)d:안테나로부터 수직 거리(m)π:파장(m)I:안테나 전류의 실효값(A) 이 식에서 제1항을 유도 자계, 제2항을 방사 자계라 하는데 유도 자계는 저주파 회로 소자 근처에 생기는 전자계와 동일한 성질이 있으며 먼 곳에서는 거리의 제곱에 반비례해서 감소하기 때문에, 전파로 이용할 때는 방사 자계만을 고려하는 것이 좋다."
"유도 잡음, 誘導雜音, induced noise",,"가입자선 구간에서 받는 잡음으로, 상용 주파수를 기본파로 하는 유도 잡음. 통화 또는 다이얼 신호의 누설에 의한 다중 누화 잡음이 주가 된다."
"유도 잡음 억압 코일, 誘導雜音抑壓-, induced noise suppression coil",,"송전선이나 전철로부터의 유도 잡음 전압을 줄이기 위한 코일. 통신 회선의 종회로에서는 높은 리액턴스를 일으키고, 횡회로(선 사이)에서는 리액턴스를 일으키지 않는 구조이므로 교환 기기에 가해지는 유도 종전압(縱電壓)은 대부분 이 코일에 흡수되어 기기의 불평형으로 인한 잡음 전압을 감소시킨다."
"유도 잡음 전압, 誘導雜音電壓, induced noise voltage",,전력선 또는 전철로부터의 유도 작용에 의해 통신선 사이에서 발생하는 잡음 전압. 유도원의 고주파 함유율 및 통신 회선의 대지에 대한 불평형의 정도에 따라 크게 변한다.
"유도 장해, 誘導障害, inductive interference, inductive disturbance",,"통신 선로가 외부 시설에 의해 입는 피해. 강전류 선로와의 거리 불균형, 전철선의 불꽃, 낙뢰 또는 강전류 전선의 고장 등에 의해 생긴다. 또 시가지에서는 전등 인입선에 의해 피해를 받는 경우가 많다."
"유도 전압 조정기, 誘導電壓調整器, induction regulator",,"유도 모터의 회전자를 어떤 위치에 고정시켜 두면 트랜스와 같은 원리에 의해 1차 권선(회전자 권선)에 가한 교류 전압과 같은 주파수의 유도 기전력이 2차 권선(고정자 권선)에 발생하며, 전압의 크기와 위상은 회전자를 어느 각도만큼 이동시킴으로써 연속 조정이 가능한데, 이 원리를 응용한 전압 조정기. 단상용과 3상용이 있으며, 전원 전압의 조정이나 이상기로 사용된다."
"유도형 자동 전압 조정기, 誘導型自動電壓調整器, Induction Type Voltage Regulator, IVR",,교류 전압 조정에 이용되는 것으로 입력 측에 병렬 접속된 분로 권선에 의해 유기되는 자기 회로 중에 입력과 직렬 접속된 권선을 설치하여 여기서 유기되는 전압에 의해 입력을 가감하여 출력 전압을 보상하는 기기. 입력 전압 변동이나 부하 변동에 대해 출력 전압을 일정하게 유지하기 위해서는 직렬 권선의 유기 전압을 조정할 필요가 있다. 그 방법은 직렬 권선과 분로 권선의 각도를 기계적으로 변화시켜 행한다.
"유동 IP 주소, 流動-住所, dynamic IP address",,"동적 호스트 설정 통신 규약(DHCP)을 적용 받는 컴퓨터에 잠정적으로 할당하는 임시적인 인터넷(IP) 주소. 제한된 IP 주소로 다수의 가입자를 수용하기 위해 인터넷 서비스 업체에서 적용하는 것으로 인터넷 접속 때마다 사용자 인증 후 임의의 IP 주소를 사용자에게 할당한다. 외부에서 정보를 얻고자 하는 가입자 통신 인터넷 서비스는 대부분 유동 IP 주소 할당 방식을 쓴다. DHCP 컴퓨터는 인터넷 통신 접속 시 유동 IP 주소를 받고, 접속이 끊기면 유동 IP 주소 풀(pool)로 회수된다."
"유동적 발신호 인증, 流動的發信呼認證, Flexible Origination Call Authorization, FOA",,발호 시에 교환기가 호 처리 분석을 하기 전에 입력 측에서 분석하여 적격 심사하는 것.
"유동적 착신호 인증, 流動的着信呼認證, Flexible Termination Call Authorization, FTA",,착호 시에 교환기가 호 처리 분석을 하기 전에 입력 측에서 분석하여 적격 심사하는 것.
"유디피 플러딩, User Datagram Protocol Flooding, UDP Flooding",동의어 : 유디피 과부하 공격,유디피(UDP) 패킷을 대량으로 발생시켜 네트워크의 과부하를 유발시키는 공격 방법. 포트(port) 대 포트로 전송하는 UDP 프로토콜은 효율성은 좋지만 비연결형(connectionless)으로 신뢰성이 떨어진다. UDP의 단점을 이용한 UDP 플러딩은 UDP의 발신 주소(source address)를 조작하여 대량 트래픽을 발생시켜 네트워크 과부하를 일으킨다.
"유 라이프케어, ubiquitous Lifecare, u-Lifecare",,"개인 맞춤형 건강 관리 서비스. 언제 어디서나 건강 체크 및 관리가 가능한 유 헬스케어(u-Healthcare) 시대를 열어 갈 IT-BT 융합 기술이다. 이 플랫폼은 암 마커 검출 센서, 휴대형 암 센서, 만성 질환 모니터링용 생체 신호 감지 및 처리 모듈 등 다양한 센서를 장착해 라이프케어 서비스 단말기를 이용하여 개인의 상시 질병 예방 및 건강 관리가 가능하다."
"유 러닝, Ubiquitous Learning, u-Learning",,"시간과 장소, 단말에 관계없이 학습자의 상황에 맞게 콘텐츠를 제공하는 교육 시스템. 기존의 전자 학습(e-learning)이 단순히 인터넷상에서 동영상 강의를 보는 수준이라면 유 러닝은 이러한 개념을 뛰어넘어 시간과 장소, 단말에 관계없이 학습자의 상황에 맞게 콘텐츠를 전달한다. 또한 학습 성취도를 파악하여 부족한 부분을 보충해 주고 최상의 교육 서비스를 제공한다."
"유럽 단일 특허 제도, -單一特許制度, The European Union's Single Patent System",,유럽특허청(EPO)에 영어ㆍ불어ㆍ독일어 중 하나의 언어로 출원서를 제출하여 특허 결정을 받으면 유럽연합(EU) 25개 회원국에서 효력이 있는 제도. 지금까지는 EPO에서 특허 결정을 받더라도 각국 특허청에 번역문을 제출ㆍ등록해야 그 나라에서 유효한 특허를 받을 수 있었다. 단일 특허 제도가 유럽 의회와 회원국들의 비준을 거쳐 공식 출범하면 유럽 특허를 얻기 위한 절차와 비용이 크게 준다.
